"category","name","source_url","local_path","status","notes","bytes","sha256","accessed_at"
"metadata","source deep-research-report copy","C:\project\saerok-memory\deep-research-report.md","C:\project\saerok-memory\cognitve-reference\metadata\source_deep-research-report.md","copied","Local source report copied for provenance.","42806","A938E7613B06B02C0339E413CE45A98C7FE5602BFF9B96AD769624A41BFC341B","2026-05-23T17:24:18"
"metadata","extracted report links text","C:\project\saerok-memory\deep-research-report.md","C:\project\saerok-memory\cognitve-reference\metadata\report_links.txt","generated","Unique URLs extracted from the report.","3862","1EDA2A5090432C91569DB2EE069F2D2DF0BAD45EA54C712815B181185D93884D","2026-05-23T17:24:18"
"metadata","extracted report links JSON","C:\project\saerok-memory\deep-research-report.md","C:\project\saerok-memory\cognitve-reference\metadata\report_links.json","generated","Unique URLs extracted from the report as JSON.","4262","CF670A11D52F5BFC34819C58D5887C91E1EDEF3FD455481F56256D93CC48818B","2026-05-23T17:24:18"
"metadata","PubMed selected records XML","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=1202204,15817019,16116116,16977673,20220323,23949210,30047147&retmode=xml","C:\project\saerok-memory\cognitve-reference\metadata\pubmed_selected_records.xml","downloaded_metadata","PubMed metadata for original papers with no public PMC PDF found through ID converter.","46547","4F7FAE190275C66E22E8812C129CE30255109EC83C0F392D6EFD24AADDDE7A3F","2026-05-23T17:24:18"
"metadata","PubMed to PMC ID converter result","https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?ids=1202204,15817019,16116116,16977673,20220323,23949210,30047147&format=json","C:\project\saerok-memory\cognitve-reference\metadata\pubmed_to_pmc_idconv.json","downloaded_metadata","NCBI ID converter response preserved.","1102","F93001220F582F72252497A7AB59ACB9092762B91834D199F4B39D72F78B9E7A","2026-05-23T17:24:18"
"official-tools","TICS NIA LIFE form","https://agingresearchbiobank.nia.nih.gov/studies/life/documents/download/Forms_Main_Trial/F030_Telephone_Interview_for_Cognitive_Status%28TICS%29_v1.0.pdf/","C:\project\saerok-memory\cognitve-reference\official-tools\tics_nia_life_F030.pdf","downloaded_pdf","PDF signature verified during final validation.","152732","E1748474704FD8476DB3A056E498979A535B40338C6F9D2E82EBA78785DC4047","2026-05-23T17:24:18"
"official-tools","GPCOG English form","https://gpcog.com.au/uploads/ckfinder/userfiles/files/English.pdf","C:\project\saerok-memory\cognitve-reference\official-tools\gpcog_english.pdf","downloaded_pdf","PDF signature verified during final validation.","194710","C8E35E434A36DBE8CC88207D4AD496FC390B578E1FF10189DB4C5E2F01D15781","2026-05-23T17:24:18"
"official-tools","SAGE form 1 US 2021","https://wexnermedical.osu.edu/-/media/files/wexnermedical/patient-care/healthcare-services/brain-spine-neuro/memory-disorders/sage/us/sage_form1_us_2021.pdf?hash=A86118A320EC3A29BAC15B8D299392CA&rev=e74c7aa83b7e40c5b4570293a2221b41","C:\project\saerok-memory\cognitve-reference\official-tools\sage_form1_us_2021.pdf","downloaded_pdf","PDF signature verified during final validation.","542228","0CF74C735FD4186F544F363B9F9BD451E27C62C992EF72B3EF4355282DC3F8E2","2026-05-23T17:24:18"
"official-tools","SAGE scoring instructions US UK 2021","https://wexnermedical.osu.edu/-/media/files/wexnermedical/patient-care/healthcare-services/brain-spine-neuro/memory-disorders/sage/us/sage_scoringinstructions_usuk_2021.pdf?hash=43974E719E562B76BD768DC8ECBE4EF3&rev=8d285147c07e4464816b5a06d24033f2","C:\project\saerok-memory\cognitve-reference\official-tools\sage_scoringinstructions_usuk_2021.pdf","downloaded_pdf","PDF signature verified during final validation.","133607","F3F3673A30C61685EF43E8E2E6AF4491CD723EFBEA5E548B7D63B1208E1D7AAC","2026-05-23T17:24:18"
"official-tools","SLUMS form","https://www.slu.edu/medicine/internal-medicine/geriatric-medicine/aging-successfully/-pdf/slums-form.pdf","C:\project\saerok-memory\cognitve-reference\official-tools\slums_form.pdf","downloaded_pdf","PDF signature verified during final validation.","184328","AFC19398A45B5E7F4BB996745D187BD415A79AFEBF42FC6F4937FEC60DE8F68F","2026-05-23T17:24:18"
