"report_url","coverage_status","manifest_status","manifest_name","local_path","notes"
"https://agingresearchbiobank.nia.nih.gov/studies/life/documents/download/Forms_Main_Trial/F030_Telephone_Interview_for_Cognitive_Status%28TICS%29_v1.0.pdf/","covered","downloaded_pdf","TICS NIA LIFE form","C:\project\saerok-memory\cognitve-reference\official-tools\tics_nia_life_F030.pdf","PDF signature verified during final validation."
"https://cambridgecognition.com/alzheimers/","covered","saved_html","cambridge_alzheimers.html","C:\project\saerok-memory\cognitve-reference\web-pages\cambridge_alzheimers.html","Public web page saved as HTML evidence."
"https://cambridgecognition.com/digital-cognitive-assessments/","covered","saved_html","cambridge_cantab_overview.html","C:\project\saerok-memory\cognitve-reference\web-pages\cambridge_cantab_overview.html","Public web page saved as HTML evidence."
"https://cambridgecognition.com/paired-associates-learning-pal/","covered","saved_html","cambridge_pal.html","C:\project\saerok-memory\cognitve-reference\web-pages\cambridge_pal.html","Public web page saved as HTML evidence."
"https://cgatoolkit.ca/Uploads/ContentDocuments/MMSE.pdf","covered","not_downloaded","MMSE nonofficial educational PDF","","Download attempt failed because the remote server could not be reached from this environment."
"https://github.com/bc-bytes/cognitive-tests","covered","cloned","bc-bytes__cognitive-tests","C:\project\saerok-memory\cognitve-reference\code\bc-bytes__cognitive-tests","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/bjoernhandersson/Longitudinal-MoCA","covered","cloned","bjoernhandersson__Longitudinal-MoCA","C:\project\saerok-memory\cognitve-reference\code\bjoernhandersson__Longitudinal-MoCA","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/COBsquare/Dementia-Examiner-for-Individuals","covered","cloned","COBsquare__Dementia-Examiner-for-Individuals","C:\project\saerok-memory\cognitve-reference\code\COBsquare__Dementia-Examiner-for-Individuals","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/COBsquare/Digital-Recognition-and-Evaluation-of-the-Clock-Drawing-Test","covered","cloned","COBsquare__Digital-Recognition-and-Evaluation-of-the-Clock-Drawing-Test","C:\project\saerok-memory\cognitve-reference\code\COBsquare__Digital-Recognition-and-Evaluation-of-the-Clock-Drawing-Test","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/dcajal/cognitive-tests","covered","cloned","dcajal__cognitive-tests","C:\project\saerok-memory\cognitve-reference\code\dcajal__cognitive-tests","Public GitHub repository cloned with shallow history for reference only."
